sample_id,species,leaf_position,light_condition,light_value,canopy_cover,stomata_count1,stomata_count2
1a,ivy,med,high,44.5,20,43,37
1b,blackberry,med,high,44.5,20,na,na
2a,ivy,low,high,50,30,33,29
2b,blackberry,low,high,50,30,32,na
3a,ivy,low,high,40,45,37,37
3b,blackberry,low,high,40,45,19,23
4,blackberry,low,high,39,15,34,na
5,ivy,low,high,40,5,33,50
6a,ivy,low,high,40,50,34,33
6b,blackberry,low,high,40,50,17,21
7a,ivy,low,high,33,70,23,15
7b,blackberry,low,high,33,70,16,14
8a,ivy,med,high,33,75,36,36
8b,blackberry,med,high,33,75,16,15
9a,ivy,low,high,40,40,24,23
9b,blackberry,med,high,40,40,20,20
10,ivy,low,low,4.5,90,26,30
11b,blackberry,low,low,5,90,27,21
11a,ivy,low,low,5,90,28,35
12b,blackberry,low,low,7,90,25,20
12a,ivy,low,low,7,90,36,28
13,ivy,low,low,2,95,29,34
14,blackberry,low,low,6.7,90,na,na
15a,ivy,med,low,13.5,70,31,32
15b,blackberry,med,low,13.5,70,na,na
16a,ivy,low,low,4,80,30,36
16b,blackberry,low,low,4,80,29,41
17a,ivy,low,low,5,70,na,na
17b,blackberry,low,low,5,70,30,35
18,blackberry,low,low,18.1,60,26,34
19,blackberry,low,low,20,65,na,na
20,ivy,low,low,3,80,27,26